Scientific_Name,Genus_Local,Common_Name_Local,Plot_Count,Mean_AGB,SD_AGB,Min_AGB,Max_AGB
Rhizophora mucronata,Rhizophora (Bakau),Bakau Kurap,37,102.07,56.26,23,220
Sonneratia alba,Sonneratia (Perepat),Perepat,25,100.14,58.05,24,230
Rhizophora apiculata,Rhizophora (Bakau),Bakau Minyak,49,97.78,42.96,31.73,210.14
Sonneratia caseolaris,Sonneratia (Perepat),Perepat merah,20,93.71,51.64,23.26,165
Bruguiera gymnorhiza,Bruguiera (Berus),Berus (Orange mangrove),29,91.88,61.13,21,212
Avicennia marina,Avicennia (Api-api),Grey mangrove,25,89.96,57.38,30,224
Avicennia officinalis,Avicennia (Api-api),-,12,86.94,39.98,33,148
Avicennia alba,Avicennia (Api-api),Api-api putih,29,78.06,46,22,237.46
Bruguiera parviflora,Bruguiera (Lenggadai),Lenggadai,19,74.54,43.96,20.03,151.31
